fostering_id,pet_id,volunteer_id,foster_date
1,36,56,2020-10-22
2,36,58,2020-11-15
3,68,56,2021-02-21
4,6,74,2020-12-05
5,24,39,2021-01-08
6,26,70,2021-08-22
7,65,81,2020-12-22
8,7,91,2020-12-02
9,82,16,2021-07-05
10,87,38,2021-08-01
11,1,91,2020-09-22
12,97,18,2021-08-05
13,1,37,2021-06-24
14,2,55,2021-07-12
15,28,14,2020-09-05
16,32,52,2020-09-29
17,21,11,2021-01-19
18,91,34,2020-10-09
19,1,49,2021-02-12
20,79,83,2021-05-23
21,28,68,2020-11-30
22,6,91,2021-02-14
23,61,15,2020-10-17
24,3,11,2021-08-05
25,4,66,2020-12-10
26,35,73,2020-12-25
27,91,50,2021-01-12
28,39,9,2021-01-12
29,70,56,2021-01-04
30,30,51,2021-06-30
31,75,30,2021-04-11
32,12,7,2021-05-01
33,71,93,2020-12-19
34,20,58,2021-04-05
35,96,95,2021-08-11
36,51,63,2020-12-02
37,62,48,2021-05-09
38,96,98,2021-03-12
39,81,87,2021-07-17
40,23,81,2021-03-17
41,19,63,2021-01-11
42,32,16,2020-12-29
43,44,16,2021-05-05
44,52,60,2021-08-01
45,100,71,2021-04-18
46,84,15,2021-04-29
47,18,84,2021-03-30
48,37,52,2021-03-29
49,37,98,2020-11-09
50,79,91,2021-02-27
51,43,1,2020-09-20
52,35,34,2021-06-20
53,24,67,2020-10-26
54,87,18,2020-11-30
55,41,94,2020-09-12
56,35,96,2021-03-08
57,91,3,2021-05-26
58,29,26,2021-08-19
59,52,47,2020-08-28
60,59,76,2021-07-21
61,27,3,2020-11-20
62,34,93,2021-03-22
63,76,15,2021-04-29
64,70,99,2021-06-15
65,87,65,2021-05-29
66,15,93,2021-08-03
67,24,59,2021-03-17
68,78,54,2021-04-16
69,39,24,2021-04-18
70,66,3,2021-07-14
71,97,75,2021-02-14
72,28,45,2021-05-20
73,58,92,2021-05-18
74,87,13,2021-08-14
75,87,62,2021-04-08
76,95,2,2021-01-04
77,56,57,2021-03-20
78,100,53,2020-11-30
79,85,86,2021-07-06
80,91,3,2020-11-23
81,98,59,2021-02-26
82,80,41,2021-02-17
83,27,69,2021-08-06
84,81,73,2021-07-22
85,46,89,2020-12-14
86,43,39,2021-08-22
87,26,36,2020-11-01
88,58,21,2021-01-28
89,7,91,2021-02-20
90,64,50,2021-06-27
91,19,23,2020-12-21
92,2,3,2021-06-19
93,16,34,2021-06-22
94,35,78,2021-07-18
95,82,59,2020-10-14
96,100,76,2021-03-26
97,82,94,2021-03-24
98,70,33,2021-07-23
99,84,40,2021-03-06
100,44,20,2021-04-20
101,38,62,2021-07-03
102,6,34,2020-08-26
103,64,43,2021-08-18
104,29,40,2021-04-28
105,50,36,2021-05-23
106,50,61,2021-01-20
107,95,3,2021-07-14
108,49,63,2021-02-25
109,91,81,2021-08-24
110,89,55,2020-10-20
111,60,12,2021-02-27
112,63,47,2020-08-28
113,62,34,2020-11-26
114,65,61,2021-06-17
115,54,36,2021-04-03
116,34,76,2021-08-06
117,66,70,2020-10-18
118,69,61,2020-09-25
119,41,81,2020-12-19
120,25,93,2021-05-08
121,21,68,2021-06-24
122,11,37,2020-11-20
123,53,67,2021-05-23
124,44,72,2021-03-28
125,22,10,2021-01-05
126,18,85,2021-01-11
127,10,16,2020-09-16
128,69,93,2021-03-01
129,21,34,2021-07-09
130,12,8,2020-12-04
131,40,57,2020-10-21
132,16,50,2021-06-10
133,59,74,2021-04-02
134,76,34,2020-12-09
135,45,70,2020-12-11
136,12,79,2020-12-06
137,52,76,2021-06-06
138,14,67,2021-01-01
139,15,53,2021-02-03
140,1,27,2021-07-14
141,44,13,2021-01-03
142,76,63,2021-01-04
143,49,89,2021-04-25
144,60,70,2021-04-24
145,35,9,2020-10-31
146,52,13,2021-08-15
147,41,91,2020-09-12
148,74,11,2020-12-11
149,8,84,2021-05-12
150,37,93,2021-07-24
151,22,29,2020-11-17
152,58,55,2021-08-17
153,71,21,2020-11-20
154,50,81,2021-03-21
155,90,61,2020-11-02
156,23,17,2020-10-28
157,47,83,2020-11-28
158,45,63,2020-12-10
159,84,30,2021-05-16
160,17,99,2021-07-11
161,7,28,2021-01-02
162,22,10,2020-11-03
163,62,69,2020-10-28
164,20,91,2021-03-29
165,25,79,2021-06-15
166,5,74,2021-01-29
167,98,9,2021-05-28
168,86,43,2021-07-24
169,49,47,2021-03-25
170,29,53,2021-01-30
171,74,6,2020-11-21
172,48,40,2021-06-02
173,85,36,2021-08-08
174,48,32,2020-10-13
175,28,70,2020-10-10
176,47,93,2021-04-25
177,27,98,2020-10-22
178,87,68,2021-02-28
179,42,29,2020-11-24
180,80,33,2021-08-19
181,60,43,2021-05-09
182,99,33,2021-06-30
183,6,35,2021-01-24
184,98,69,2021-01-08
185,3,30,2021-03-23
186,33,69,2021-03-10
187,29,100,2021-05-01
188,5,81,2021-07-25
189,91,90,2020-08-29
190,23,30,2021-08-22
191,84,29,2020-10-25
192,47,93,2021-05-06
193,5,31,2021-02-12
194,77,72,2021-03-30
195,71,58,2021-02-19
196,39,6,2020-12-05
197,52,76,2020-10-02
198,68,32,2020-11-06
199,38,35,2021-06-14
200,81,96,2021-07-29
201,4,80,2020-12-21
202,2,7,2021-03-06
203,2,41,2020-11-25
204,20,20,2021-01-03
205,8,43,2021-02-24
206,71,63,2021-05-09
207,48,92,2020-12-08
208,27,83,2021-06-08
209,32,47,2021-03-07
210,17,84,2021-04-24
211,1,51,2021-05-25
212,45,69,2020-10-28
213,3,45,2021-03-12
214,58,23,2020-12-16
215,86,22,2021-04-11
216,43,98,2021-02-22
217,40,2,2020-12-04
218,85,25,2021-02-26
219,62,54,2020-10-05
220,1,89,2021-05-31
221,41,14,2021-06-16
222,62,7,2021-05-02
223,25,94,2020-11-10
224,16,58,2020-11-19
225,52,41,2020-12-28
226,1,71,2021-07-25
227,62,48,2020-10-10
228,5,29,2021-03-31
229,59,14,2020-12-17
230,48,61,2021-01-26
231,90,82,2020-09-16
232,89,8,2021-03-04
233,2,23,2021-06-09
234,57,62,2021-06-13
235,11,36,2021-01-17
236,22,44,2021-02-07
237,65,31,2020-12-21
238,27,80,2021-03-01
239,28,25,2020-10-06
240,6,32,2021-03-25
241,90,38,2021-03-01
242,87,67,2021-04-21
243,16,99,2020-09-24
244,98,31,2020-10-19
245,64,82,2021-05-30
246,67,55,2021-02-02
247,84,92,2020-10-01
248,35,6,2021-01-25
249,48,85,2021-01-27
250,1,82,2021-08-13
251,18,15,2021-03-06
252,74,61,2021-01-24
253,31,45,2021-06-28
254,90,7,2021-06-18
255,90,91,2021-05-10
256,53,57,2021-04-06
257,48,69,2021-04-15
258,33,36,2020-11-26
259,67,76,2021-08-03
260,98,78,2020-12-02
261,93,97,2020-10-02
262,59,46,2021-06-29
263,11,30,2020-09-30
264,45,73,2021-07-23
265,83,28,2021-03-28
266,87,75,2020-11-17
267,45,90,2020-12-23
268,76,50,2020-11-07
269,18,4,2020-10-15
270,72,6,2021-04-20
271,78,41,2021-07-22
272,91,71,2020-12-19
273,15,60,2021-07-14
274,5,42,2020-10-03
275,94,62,2020-10-27
276,55,6,2021-03-30
277,94,37,2020-12-17
278,29,69,2021-06-04
279,64,59,2021-08-02
280,41,14,2021-03-30
281,52,55,2021-02-07
282,60,32,2020-11-22
283,32,16,2020-11-30
284,41,57,2021-02-05
285,58,98,2020-10-23
286,38,57,2020-09-03
287,14,46,2020-10-25
288,27,91,2021-02-03
289,4,54,2020-11-02
290,16,48,2021-01-31
291,36,67,2021-04-11
292,67,25,2020-10-30
293,79,58,2020-11-03
294,38,81,2020-12-17
295,79,57,2020-10-01
296,12,75,2021-06-06
297,32,7,2021-08-12
298,56,12,2021-01-22
299,68,85,2020-12-30
300,41,85,2021-08-16
301,74,97,2021-04-25
302,58,51,2020-12-19
303,34,8,2021-01-26
304,66,70,2021-08-23
305,78,24,2021-05-25
306,8,58,2021-06-09
307,48,48,2021-06-11
308,81,82,2021-05-21
309,90,73,2021-08-07
310,83,37,2020-09-17
311,20,64,2020-11-01
312,88,79,2020-11-06
313,91,61,2021-03-28
314,36,57,2021-08-03
315,55,20,2021-07-02
316,29,28,2021-04-02
317,54,58,2021-04-15
318,5,42,2021-01-23
319,16,27,2021-03-04
320,81,76,2021-02-17
321,60,28,2021-01-05
322,33,100,2021-07-23
323,72,46,2021-01-14
324,27,100,2020-11-17
325,79,18,2021-06-05
326,19,95,2021-05-10
327,72,30,2020-12-13
328,43,2,2020-10-19
329,98,64,2021-06-16
330,48,11,2021-02-01
331,59,88,2020-11-02
332,85,48,2021-02-01
333,22,81,2021-03-09
334,72,86,2021-03-22
335,43,33,2021-02-22
336,8,1,2021-07-08
337,95,67,2021-04-29
338,40,57,2021-08-04
339,58,88,2020-11-28
340,97,59,2021-02-16
341,32,35,2020-09-08
342,57,1,2021-01-31
343,68,45,2020-12-12
344,75,54,2021-07-02
345,31,43,2021-05-04
346,8,39,2021-04-15
347,81,69,2021-07-28
348,54,34,2021-06-05
349,47,79,2021-07-31
350,5,33,2021-04-12
351,60,100,2021-08-01
352,49,94,2021-04-26
353,73,93,2020-11-10
354,70,28,2021-02-05
355,72,45,2021-05-05
356,54,24,2021-03-23
357,26,61,2021-03-13
358,15,2,2021-07-09
359,66,59,2021-08-12
360,3,24,2020-12-28
361,50,72,2021-08-23
362,85,18,2020-09-17
363,71,3,2021-07-19
364,99,82,2021-06-12
365,57,91,2021-06-03
366,2,4,2021-03-11
367,38,83,2021-04-28
368,42,10,2021-06-18
369,92,32,2021-06-01
370,14,90,2021-05-27
371,65,43,2020-12-05
372,91,88,2020-08-28
373,29,35,2021-04-23
374,79,93,2020-12-12
375,67,74,2020-11-30
376,85,57,2021-05-20
377,10,35,2021-07-12
378,60,1,2020-09-14
379,83,44,2021-05-09
380,5,99,2021-04-27
381,19,64,2021-01-09
382,41,4,2021-02-14
383,19,32,2021-08-12
384,61,4,2020-10-02
385,74,37,2021-07-09
386,78,1,2020-12-20
387,91,5,2021-05-22
388,61,35,2021-03-12
389,78,44,2021-07-31
390,22,37,2021-06-25
391,40,32,2021-01-26
392,64,43,2021-06-30
393,37,73,2020-12-05
394,40,4,2021-02-08
395,42,77,2020-08-27
396,44,50,2021-01-16
397,8,56,2021-03-31
398,36,18,2021-02-09
399,53,82,2021-03-24
400,49,59,2021-06-06
401,19,35,2021-06-24
402,53,69,2020-11-13
403,88,36,2021-07-26
404,80,97,2021-01-26
405,14,91,2021-08-22
406,85,28,2021-02-16
407,63,6,2020-10-25
408,22,50,2020-12-15
409,1,22,2021-03-20
410,9,64,2021-02-20
411,45,76,2021-05-31
412,48,17,2020-12-23
413,51,20,2021-01-20
414,25,67,2021-02-16
415,1,45,2021-01-14
416,50,99,2021-07-13
417,48,12,2021-02-01
418,49,31,2021-04-12
419,96,99,2020-10-19
420,57,46,2021-05-14
421,87,96,2020-09-21
422,84,66,2021-05-23
423,71,81,2021-04-22
424,39,44,2021-07-10
425,49,95,2021-03-25
426,17,69,2020-12-29
427,18,58,2021-06-14
428,32,50,2021-06-10
429,41,25,2021-05-22
430,66,97,2021-02-18
431,93,26,2020-11-22
432,93,33,2020-11-06
433,19,81,2021-07-20
434,98,63,2021-07-07
435,23,17,2020-10-16
436,85,98,2020-09-11
437,49,50,2020-09-18
438,44,75,2021-07-20
439,20,83,2020-08-27
440,77,72,2021-04-21
441,79,31,2021-04-17
442,96,20,2020-12-24
443,82,54,2021-02-04
444,22,68,2020-12-11
445,49,71,2021-05-17
446,97,10,2020-08-31
447,93,44,2021-07-12
448,27,28,2021-08-05
449,6,53,2021-05-29
450,68,18,2020-12-06
451,7,43,2021-05-29
452,98,73,2020-11-07
453,48,39,2021-07-25
454,97,71,2020-10-04
455,89,13,2020-12-27
456,71,49,2021-08-20
457,89,81,2020-12-11
458,72,35,2020-12-11
459,61,75,2021-07-06
460,47,19,2021-04-28
461,45,28,2021-05-01
462,9,12,2020-11-12
463,49,60,2020-11-28
464,24,94,2021-04-09
465,47,91,2021-03-17
466,25,20,2021-04-25
467,63,22,2021-05-18
468,60,98,2021-04-07
469,77,56,2020-09-10
470,90,48,2021-02-15
471,32,66,2021-01-27
472,65,4,2021-02-14
473,72,17,2021-03-19
474,56,33,2020-11-02
475,82,35,2021-04-18
476,56,87,2021-01-15
477,96,60,2021-07-25
478,70,3,2021-08-09
479,95,74,2020-08-27
480,85,14,2020-09-23
481,65,85,2020-12-31
482,68,32,2020-10-30
483,46,24,2021-03-20
484,26,80,2021-02-03
485,17,25,2020-11-22
486,42,5,2020-09-05
487,47,25,2020-12-31
488,70,41,2020-12-17
489,59,91,2021-03-04
490,59,43,2021-06-26
491,51,67,2021-05-18
492,38,80,2021-07-12
493,8,89,2021-08-01
494,37,63,2020-11-04
495,97,49,2021-07-03
496,42,89,2020-11-29
497,22,37,2020-10-20
498,71,51,2021-04-01
499,76,56,2020-10-12
500,77,16,2021-02-05
501,33,67,2020-11-15
502,93,46,2021-06-30
503,9,79,2020-10-28
504,7,78,2020-11-14
505,4,8,2020-09-11
506,39,49,2020-10-06
507,74,52,2021-03-06
508,99,62,2020-12-07
509,34,67,2021-08-08
510,50,46,2021-01-01
511,11,100,2021-05-01
512,16,97,2021-02-07
513,96,50,2021-08-19
514,26,70,2021-07-19
515,22,19,2021-01-18
516,71,25,2020-11-06
517,62,10,2021-02-15
518,60,16,2021-06-13
519,45,14,2020-09-20
520,37,14,2020-10-23
521,39,67,2021-07-16
522,69,97,2021-05-03
523,70,86,2020-10-11
524,13,10,2020-09-07
525,38,18,2020-10-28
526,76,53,2020-12-23
527,36,45,2021-08-08
528,13,94,2020-09-24
529,30,43,2020-08-30
530,2,42,2020-11-28
531,64,73,2020-10-03
532,28,79,2021-03-30
533,16,12,2020-12-02
534,89,8,2021-07-25
535,8,51,2020-09-21
536,25,43,2020-11-21
537,86,92,2021-04-22
538,31,83,2021-02-03
539,17,86,2021-02-19
540,57,18,2020-10-27
541,45,1,2020-09-03
542,40,67,2021-06-02
543,38,96,2021-01-16
544,35,59,2021-07-14
545,64,11,2021-02-24
546,67,62,2020-09-13
547,10,77,2021-04-20
548,8,10,2021-05-22
549,22,64,2021-08-01
550,38,45,2020-11-02
551,2,67,2021-07-23
552,9,34,2021-08-01
553,21,85,2020-09-26
554,75,16,2021-07-24
555,64,86,2020-12-30
556,1,8,2021-04-09
557,80,45,2021-06-08
558,51,31,2021-08-22
559,58,40,2021-04-19
560,88,12,2021-08-18
561,30,67,2021-07-20
562,25,92,2020-09-11
563,10,94,2020-08-29
564,14,1,2021-05-03
565,66,64,2020-09-01
566,27,10,2020-12-30
567,59,84,2021-01-05
568,24,3,2021-07-07
569,3,81,2021-02-05
570,59,81,2021-08-03
571,9,56,2020-10-23
572,17,29,2021-06-17
573,61,24,2021-01-01
574,82,68,2020-10-28
575,31,8,2021-03-18
576,28,54,2020-09-05
577,79,90,2021-03-19
578,87,76,2020-12-06
579,27,20,2020-10-31
580,50,78,2021-01-26
581,79,7,2021-06-10
582,36,25,2021-05-21
583,53,26,2021-04-28
584,37,28,2021-06-22
585,4,37,2021-04-14
586,10,3,2020-09-11
587,94,90,2021-01-24
588,3,47,2021-06-22
589,29,34,2021-07-12
590,1,21,2021-02-10
591,56,29,2021-08-17
592,40,29,2021-01-14
593,16,57,2020-10-24
594,68,59,2020-11-29
595,75,82,2021-07-28
596,86,97,2020-09-30
597,55,24,2021-02-06
598,37,27,2020-11-15
599,93,13,2021-06-04
600,32,27,2020-10-31
601,81,53,2020-11-26
602,99,10,2020-11-03
603,26,12,2021-05-13
604,59,11,2021-08-13
605,78,41,2020-10-26
606,53,6,2021-04-03
607,91,31,2020-10-27
608,83,96,2020-10-11
609,45,70,2021-05-18
610,71,19,2020-10-15
611,53,1,2020-09-04
612,97,86,2020-08-29
613,84,37,2021-05-20
614,57,67,2021-07-25
615,86,33,2021-03-28
616,1,69,2021-07-16
617,87,84,2021-07-26
618,29,26,2021-08-23
619,46,95,2021-02-11
620,51,66,2020-11-23
621,11,56,2020-10-15
622,89,6,2021-08-09
623,77,86,2020-12-12
624,69,81,2020-09-11
625,69,28,2021-07-08
626,94,78,2021-02-26
627,65,37,2020-11-13
628,95,59,2020-10-15
629,77,94,2021-05-01
630,46,73,2020-09-23
631,2,97,2020-12-15
632,79,29,2021-04-04
633,61,43,2020-08-27
634,55,43,2021-03-27
635,3,70,2021-07-28
636,70,21,2021-07-02
637,35,27,2021-07-15
638,65,31,2020-09-03
639,16,83,2021-08-08
640,76,47,2020-12-07
641,16,42,2021-04-25
642,87,63,2021-05-09
643,15,99,2020-10-26
644,9,60,2021-05-20
645,50,74,2021-06-25
646,78,44,2021-06-04
647,54,40,2020-11-21
648,29,44,2021-03-01
649,90,18,2021-03-19
650,62,39,2021-05-11
651,22,17,2020-09-14
652,84,19,2020-09-23
653,7,73,2020-12-05
654,33,9,2021-05-03
655,37,39,2020-09-26
656,56,72,2021-07-06
657,44,69,2021-01-19
658,87,68,2021-02-24
659,28,58,2021-03-24
660,40,85,2021-05-31
661,41,27,2020-11-11
662,94,19,2021-02-26
663,56,14,2021-01-06
664,74,38,2021-07-13
665,55,66,2021-07-12
666,22,86,2020-10-21
667,98,53,2021-02-02
668,2,37,2021-02-25
669,59,9,2020-10-22
670,26,23,2020-12-15
671,46,3,2021-07-28
672,64,98,2021-08-04
673,75,8,2020-08-31
674,48,96,2021-03-27
675,53,81,2021-01-24
676,40,88,2021-05-07
677,61,82,2021-03-13
678,35,99,2021-05-20
679,53,20,2020-12-29
680,64,6,2021-04-11
681,80,43,2021-05-26
682,66,7,2021-01-25
683,11,96,2020-12-13
684,83,90,2020-11-12
685,81,7,2020-09-30
686,21,32,2020-11-01
687,24,87,2021-06-09
688,98,94,2020-12-03
689,47,51,2021-04-01
690,51,60,2021-04-26
691,33,74,2020-10-15
692,41,10,2021-05-12
693,74,40,2021-01-19
694,7,13,2020-09-15
695,38,48,2021-02-07
696,44,46,2020-09-05
697,36,42,2021-06-26
698,50,9,2020-10-09
699,23,20,2020-08-28
700,88,17,2020-09-03
701,86,90,2020-09-14
702,62,15,2021-02-01
703,81,59,2021-03-28
704,35,46,2021-06-19
705,49,70,2021-01-16
706,17,15,2020-11-07
707,50,89,2021-07-19
708,3,79,2021-05-23
709,48,65,2020-12-12
710,43,8,2021-08-18
711,20,59,2021-01-07
712,43,50,2020-11-28
713,82,41,2020-11-12
714,86,53,2020-09-10
715,13,58,2020-10-09
716,14,41,2021-03-07
717,1,93,2021-01-16
718,52,95,2021-05-04
719,74,13,2021-01-26
720,10,88,2021-01-11
721,52,85,2021-05-03
722,10,13,2020-09-15
723,86,64,2021-02-07
724,42,14,2021-05-05
725,45,93,2020-12-29
726,56,83,2021-07-05
727,17,27,2021-07-18
728,95,39,2020-11-09
729,85,19,2021-06-14
730,40,37,2020-09-20
731,89,36,2021-07-29
732,79,5,2021-05-10
733,14,98,2021-04-23
734,38,45,2021-03-05
735,7,64,2020-12-16
736,83,89,2020-09-01
737,53,54,2020-12-28
738,22,82,2021-02-11
739,43,85,2021-04-08
740,9,45,2021-05-13
741,86,9,2020-11-07
742,29,81,2020-10-11
743,76,16,2021-02-09
744,37,40,2021-08-24
745,93,86,2021-03-30
746,69,18,2020-10-26
747,20,14,2020-09-13
748,41,55,2021-01-01
749,41,66,2020-09-30
750,34,79,2020-09-21
751,68,56,2021-07-03
752,91,7,2020-10-08
753,27,78,2021-04-29
754,92,44,2021-03-28
755,22,24,2020-09-04
756,34,54,2021-06-04
757,16,24,2020-12-11
758,3,53,2021-05-18
759,58,53,2020-09-13
760,62,13,2021-04-22
761,31,48,2020-10-07
762,14,67,2021-04-12
763,65,29,2020-09-07
764,29,81,2021-01-03
765,47,41,2021-03-02
766,47,23,2020-11-14
767,40,95,2021-01-31
768,87,79,2021-05-22
769,41,18,2020-09-16
770,86,26,2021-08-16
771,8,7,2021-08-16
772,50,34,2020-11-30
773,94,61,2021-06-29
774,74,74,2021-03-07
775,11,55,2020-12-05
776,94,80,2021-07-15
777,31,55,2021-06-08
778,26,29,2021-03-08
779,58,31,2020-10-10
780,20,44,2021-07-20
781,8,91,2021-03-21
782,80,32,2020-09-04
783,31,37,2020-11-15
784,22,67,2021-05-30
785,95,61,2021-05-01
786,83,62,2021-07-13
787,37,96,2021-03-26
788,61,57,2020-08-25
789,83,52,2020-09-04
790,67,72,2021-03-22
791,93,50,2021-03-02
792,95,7,2021-06-26
793,70,30,2020-12-10
794,92,60,2020-10-14
795,84,63,2020-12-06
796,77,83,2020-12-31
797,11,58,2021-05-25
798,14,75,2020-08-30
799,3,42,2020-12-19
800,5,63,2020-10-10
801,72,58,2021-07-20
802,44,71,2020-09-24
803,68,74,2020-11-04
804,98,29,2020-10-27
805,42,10,2021-06-06
806,63,60,2020-09-30
807,24,85,2021-04-12
808,33,21,2021-07-15
809,33,35,2020-10-11
810,21,44,2020-08-29
811,80,77,2021-04-18
812,69,65,2020-09-27
813,44,36,2021-01-28
814,4,38,2021-07-27
815,8,2,2020-11-23
816,51,20,2021-04-07
817,73,17,2021-01-23
818,63,47,2021-03-23
819,100,96,2021-04-21
820,81,40,2021-08-24
821,46,53,2021-04-17
822,11,95,2021-05-19
823,86,45,2021-03-08
824,78,16,2020-11-17
825,46,21,2020-11-03
826,89,19,2021-03-26
827,80,85,2020-09-19
828,26,92,2020-12-09
829,79,28,2021-07-30
830,33,30,2020-10-28
831,11,20,2021-08-18
832,86,93,2020-09-06
833,15,87,2021-03-04
834,33,58,2021-01-19
835,37,15,2020-10-01
836,79,48,2021-06-16
837,55,24,2021-08-16
838,50,27,2020-08-25
839,27,23,2020-10-16
840,39,15,2021-07-30
841,78,92,2021-07-20
842,33,41,2021-03-09
843,61,60,2021-03-04
844,13,85,2021-07-17
845,15,7,2020-10-24
846,2,76,2021-02-08
847,15,39,2020-12-22
848,94,47,2021-08-04
849,49,70,2021-03-28
850,87,61,2021-06-26
851,2,83,2020-10-30
852,71,93,2021-05-10
853,71,82,2021-01-16
854,94,58,2021-06-06
855,76,63,2021-07-12
856,39,32,2020-11-15
857,9,77,2021-07-22
858,97,19,2021-01-13
859,17,31,2021-07-28
860,34,8,2021-06-27
861,29,84,2021-03-19
862,28,36,2021-07-08
863,30,60,2020-08-30
864,27,22,2021-02-23
865,94,90,2021-05-23
866,27,33,2020-12-01
867,55,70,2021-06-10
868,63,8,2021-08-16
869,5,57,2021-05-13
870,77,98,2021-04-11
871,6,9,2021-05-14
872,12,11,2020-10-05
873,71,80,2021-06-25
874,10,12,2021-01-15
875,71,2,2020-12-30
876,91,51,2020-09-09
877,25,64,2021-07-10
878,93,62,2021-03-05
879,34,43,2020-12-21
880,88,81,2020-12-04
881,1,100,2020-09-12
882,43,74,2021-02-03
883,35,26,2021-01-02
884,37,3,2021-05-09
885,92,22,2021-06-11
886,66,38,2021-05-20
887,71,58,2021-07-07
888,2,64,2021-07-12
889,29,37,2021-08-03
890,79,58,2020-09-12
891,50,55,2020-11-06
892,69,50,2021-03-11
893,44,83,2021-05-19
894,28,99,2020-10-24
895,40,75,2020-12-11
896,17,55,2021-08-24
897,7,18,2021-01-12
898,70,13,2021-06-06
899,47,14,2021-02-25
900,74,57,2021-02-12
901,82,58,2020-11-01
902,46,81,2020-12-22
903,83,20,2021-04-02
904,56,95,2021-04-09
905,62,19,2020-10-15
906,36,26,2020-12-15
907,91,35,2021-04-21
908,99,87,2021-02-28
909,62,41,2021-02-13
910,83,36,2020-12-31
911,38,63,2021-05-14
912,75,46,2020-12-27
913,24,26,2020-09-12
914,7,19,2020-09-29
915,22,74,2021-06-25
916,11,24,2021-07-06
917,40,68,2021-06-22
918,80,3,2021-07-31
919,4,33,2020-10-01
920,68,27,2021-06-17
921,1,28,2020-09-17
922,43,65,2021-06-22
923,84,5,2020-11-24
924,44,6,2020-10-28
925,48,94,2020-09-28
926,86,33,2021-07-23
927,4,5,2020-10-22
928,32,89,2021-01-27
929,40,26,2021-03-01
930,42,91,2021-07-11
931,18,94,2021-03-06
932,63,49,2020-10-15
933,99,50,2021-03-28
934,26,53,2020-09-13
935,27,36,2021-02-24
936,82,92,2021-08-11
937,41,74,2021-06-21
938,63,78,2021-07-19
939,21,87,2021-06-25
940,35,2,2021-05-06
941,52,52,2021-04-01
942,32,50,2021-02-01
943,63,32,2021-06-24
944,23,79,2021-03-31
945,92,80,2021-08-09
946,44,93,2021-02-19
947,9,30,2020-11-06
948,100,28,2021-05-06
949,49,13,2020-09-07
950,2,43,2020-10-20
951,25,99,2021-08-21
952,20,68,2021-07-28
953,22,68,2021-08-17
954,24,77,2021-02-18
955,53,87,2021-02-10
956,2,60,2020-10-22
957,63,8,2021-07-08
958,5,19,2020-09-26
959,23,36,2021-05-09
960,88,78,2021-06-20
961,79,72,2020-12-02
962,29,38,2021-02-11
963,7,68,2020-12-15
964,99,29,2020-08-31
965,81,73,2021-07-31
966,7,5,2021-01-13
967,51,84,2021-02-02
968,71,2,2021-08-17
969,83,44,2021-04-05
970,54,1,2021-02-13
971,58,75,2021-06-21
972,1,86,2021-08-20
973,33,86,2021-07-10
974,36,28,2021-05-20
975,47,8,2021-07-29
976,87,7,2020-09-15
977,2,48,2020-09-25
978,48,88,2021-06-28
979,49,5,2021-04-16
980,5,69,2020-12-28
981,72,35,2021-07-29
982,36,77,2020-12-18
983,43,68,2021-08-09
984,88,50,2020-11-21
985,24,96,2021-02-27
986,57,80,2021-05-15
987,5,31,2021-04-01
988,89,95,2020-09-14
989,77,41,2020-10-21
990,100,19,2021-05-19
991,20,93,2021-01-22
992,5,64,2021-06-15
993,7,39,2021-07-04
994,26,35,2020-10-25
995,18,35,2020-10-04
996,86,35,2021-08-07
997,100,14,2020-11-23
998,67,59,2020-10-26
999,57,59,2021-04-04
1000,75,44,2021-03-06
